a1b1c1;Percentage;Type;Class
0.1;0.47;try = 100;L1 charge type
0.2;0.58;try = 100;L1 charge type
0.3;0.93;try = 100;L1 charge type
0.4;1.26;try = 100;L1 charge type
0.5;1.45;try = 100;L1 charge type
0.1;0.79;try = 1;L1 charge type
0.2;1.30;try = 1;L1 charge type
0.3;2.00;try = 1;L1 charge type
0.4;2.78;try = 1;L1 charge type
0.5;3.89;try = 1;L1 charge type
0.1;0.1;try = 100;L2 charge type
0.2;0;try = 100;L2 charge type
0.3;0.13;try = 100;L2 charge type
0.4;0.30;try = 100;L2 charge type
0.5;0.13;try = 100;L2 charge type
0.1;0.29;try = 1;L2 charge type
0.2;0.60;try = 1;L2 charge type
0.3;0.72;try = 1;L2 charge type
0.4;1.04;try = 1;L2 charge type
0.5;1.68;try = 1;L2 charge type
